State,Time,Altitude,HDOP,Latitude,Longitude,Speed,RSSI,SNR
init,12:41:50.00,657,0,32.1055,,,,11.000000
init,12:42:20.00,656,1,32.1056,35.2114,1km/h,-60,7.000000
init,12:42:50.00,653,0,32.1056,35.2114,1km/h,-60,8.000000
init,12:43:20.00,649,1,32.1056,35.2114,0km/h,-60,12.000000
init,12:43:50.00,649,1,32.1056,35.2113,1km/h,-60,11.000000
init,12:44:21.00,656,1,32.1056,35.2113,1km/h,-60,7.000000
init,12:44:50.00,657,1,32.1056,35.2114,0km/h,-60,7.000000
init,12:45:20.00,655,1,32.1056,35.2113,2km/h,-60,7.000000
init,12:45:51.00,659,0,32.1056,35.2112,2km/h,-60,11.000000
init,12:46:20.00,663,0,32.1056,35.2113,1km/h,-59,8.000000
init,12:46:51.00,666,1,32.1056,35.2112,2km/h,-59,7.000000
init,12:47:21.00,669,1,32.1056,35.2113,1km/h,-58,12.000000
init,12:47:51.00,665,0,32.1056,35.2113,0km/h,-59,7.000000
init,12:48:21.00,660,0,32.1055,35.2113,0km/h,-60,7.000000
init,12:48:51.00,659,0,32.1055,35.2113,1km/h,-60,7.000000
init,12:49:21.00,658,0,32.1055,35.2113,0km/h,-60,7.000000
init,12:49:51.00,657,1,32.1055,35.2113,2km/h,-59,7.000000
init,12:50:21.00,660,0,32.1055,35.2113,0km/h,-59,7.000000
init,12:50:51.00,659,1,32.1055,35.2113,0km/h,-59,7.000000
init,12:51:21.00,659,1,32.1055,35.2113,2km/h,-60,11.000000
init,12:51:51.00,656,1,32.1055,35.2113,0km/h,-59,11.000000
init,12:52:21.00,653,1,32.1055,35.2113,1km/h,-59,11.000000
init,12:52:51.00,650,0,32.1055,35.2113,0km/h,-59,7.000000
init,12:53:21.00,648,0,32.1054,35.2113,1km/h,-59,7.000000
init,12:53:51.00,649,1,32.1054,35.2112,0km/h,-59,7.000000
init,12:54:21.00,645,0,32.1055,35.2112,0km/h,-60,11.000000
init,12:54:51.00,649,1,32.1055,35.2112,1km/h,-60,7.000000
init,12:55:21.00,654,1,32.1055,35.2110,1km/h,-60,8.000000
init,12:55:51.00,655,0,32.1055,35.2111,2km/h,-60,11.000000
init,12:56:21.00,659,0,32.1055,35.2111,2km/h,-60,12.000000
init,12:56:51.00,663,0,32.1055,35.2111,2km/h,-60,11.000000
init,12:57:21.00,664,0,32.1055,35.2112,1km/h,-60,7.000000
init,12:57:51.00,665,0,32.1055,35.2112,0km/h,-60,7.000000
init,12:58:21.00,660,0,32.1055,35.2112,2km/h,-60,7.000000
init,12:58:51.00,660,1,32.1055,35.2114,1km/h,-60,7.000000
init,12:59:21.00,657,1,32.1054,35.2114,1km/h,-60,7.000000
init,12:59:51.00,655,0,32.1054,35.2113,0km/h,-61,7.000000
init,13:00:21.00,657,1,32.1054,35.2113,1km/h,-60,7.000000
init,13:00:51.00,656,0,32.1054,35.2114,1km/h,-61,7.000000
init,13:01:21.00,652,0,32.1054,35.2114,2km/h,-59,7.000000
init,13:01:51.00,653,0,32.1054,35.2113,1km/h,-59,7.000000
init,13:02:21.00,656,1,32.1054,35.2112,0km/h,-61,7.000000
init,13:02:51.00,657,0,32.1055,35.2113,1km/h,-58,7.000000
init,13:03:21.00,659,0,32.1055,35.2113,2km/h,-61,7.000000
init,13:03:51.00,655,0,32.1054,35.2113,1km/h,-67,7.000000
init,13:04:21.00,657,1,32.1054,35.2114,1km/h,-62,7.000000
init,13:04:51.00,659,0,32.1054,35.2114,3km/h,-65,7.000000
init,13:05:21.00,664,0,32.1054,35.2114,1km/h,-62,7.000000
init,13:05:51.00,661,1,32.1054,35.2113,1km/h,-61,7.000000
init,13:06:21.00,662,1,32.1055,35.2110,1km/h,-64,7.000000
init,13:06:51.00,666,1,32.1056,35.2110,0km/h,-61,7.000000
init,13:07:21.00,667,0,32.1055,35.2111,0km/h,-65,11.000000
init,13:07:51.00,668,0,32.1055,35.2113,0km/h,-59,7.000000
init,13:08:21.00,667,0,32.1055,35.2112,0km/h,-58,11.000000
init,13:08:51.00,667,0,32.1055,35.2112,0km/h,-65,7.000000
